name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
almond graham squares,134601.0,70.0,49304.0,2005-08-23,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', '5-ingredients-or-less', 'desserts', 'fruit', 'oven', 'easy', 'finger-food', 'kid-friendly', 'vegetarian', 'cookies-and-brownies', 'bar-cookies', 'nuts', 'grains', 'dietary', 'gifts', 'high-calcium', 'comfort-food', 'brown-bag', 'high-in-something', 'pasta-rice-and-grains', 'taste-mood', 'sweet', 'to-go', 'equipment', 'presentation', 'served-cold', '4-hours-or-less']","[179.1, 13.0, 65.0, 4.0, 9.0, 9.0, 7.0]",10.0,"['preheat oven to 350 degrees', 'line the bottom and sides of a 8-inch square with foil , coat with cooking spray', 'i a medium mixing bowl , combine the graham cracker crumbs , the can of sweetened condensed milk and the salt , stir until moistened', 'stir in 1 1 / 2 cups of the sliced almonds', 'spread mixture evenly in prepared pan , sprinkle the other 1 / 2 cup sliced almonds over the top , patting gently', 'bake until golden and a toothpick inserted in the center comes out clean , 35 to 40 minutes', 'cool completely in pan', 'remove from pan', 'peel off foil , and cut into 16 squares with a serrated knife', 'squares will keep , in an airtight container at room temperture , for 4 to 5 days']",this is a very easy to make cookie bar. the recipe comes from food everyday.,"nonstick cooking spray, graham cracker crumbs, sweetened condensed milk, salt, sliced almonds",5.0,179.1,13.0,65.0,4.0,9.0,9.0,7.0
almond granola,135135.0,32.0,236470.0,2005-08-26,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'granola-and-porridge', 'breakfast', 'dietary', 'number-of-servings']","[129.6, 7.0, 23.0, 6.0, 7.0, 2.0, 6.0]",8.0,"['in saucepan , heat cider , almond butter , honey , cinnamon , vanilla and salt over medium heat until almond butter is melted', 'remove from heat', 'stir in rolled oats , and almonds', 'spread on rimmed baking sheet', 'bake in centre of oven at 350f stirring often til light golden approx 15 minutes', 'stir in blueberries', 'bake til golden for about another 12 minutes', 'allow to cool']",found this recipe in a magazine while waiting at the doctors office.,"apple cider, almond butter, liquid honey, cinnamon, vanilla, salt, rolled oats, sliced almonds, dried blueberries",9.0,129.6,7.0,23.0,6.0,7.0,2.0,6.0
almond grapes,163706.0,15.0,37449.0,2006-04-11,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', '5-ingredients-or-less', 'breakfast', 'lunch', 'eggs-dairy', 'fruit', 'easy', 'kid-friendly', 'dietary', 'low-sodium', 'low-in-something', 'berries', 'grapes', 'brunch', 'taste-mood', 'sweet', '3-steps-or-less']","[649.6, 49.0, 332.0, 2.0, 11.0, 46.0, 31.0]",4.0,"['mix together sour cream , sugar and almond extract', 'mix with grapes and add pecans', 'refrigerate 30 minutes before serving', 'enjoy !']","this is a favorite, easy, yummy dessert or snack, even breakfast!","seedless grapes, sour cream, brown sugar, almond extract, pecans",5.0,649.6,49.0,332.0,2.0,11.0,46.0,31.0
almond green bean salad,335876.0,15.0,92006.0,2008-11-08,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'salads', 'vegetables', 'american', 'easy', 'dinner-party', 'vegetarian', 'dietary', 'californian', 'green-yellow-beans', '3-steps-or-less']","[113.1, 11.0, 12.0, 0.0, 7.0, 3.0, 3.0]",5.0,"['bring 2 in of water to a boil in a large skillet', 'add green beans and cook 5 minutes or until crisp tender', 'immediately drain and rinse under cold water', 'in a large salad bowl , toss beans with tomatoes , onions , vinegar , oil , salt and pepper', 'line serving plates with lettuce leaves and top with green bean mixture , top with almonds']",from a california almonds are in! ad.,"green beans, cherry tomatoes, red onion, balsamic vinegar, vegetable oil, salt and pepper, lettuce leaf, sliced almonds",8.0,113.1,11.0,12.0,0.0,7.0,3.0,3.0
almond half moons,393606.0,6.0,883095.0,2009-10-07,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'drop-cookies', 'desserts', 'cookies-and-brownies']","[50.4, 5.0, 6.0, 0.0, 1.0, 8.0, 1.0]",12.0,"['in a large mixing bowl , beat the butter or margarine with an electric mixer on medium high speed for 30 seconds', 'add the sugar', 'beat till combined', 'beat in the egg and almond extract', 'beat in as much of the flour as you can with the mixer', 'stir in any remaining flour and the ground nuts with a wooden spoon', 'do not chill dough', 'pack dough into a cookie press fitted with a 1 / 2 -inch wide round or star', 'force dough through the cookie press 1-inch apart onto ungreased cookie sheets forming crescent shapes', 'bake in a preheated 375f oven for 6-8 minutes , or till edges are firm and bottoms are lightly browned', 'remove cookies from pans and cool on a rack', 'sprinkle cookies with powdered sugar']","these crisp little cookies, reminiscent of chinese almond cookies, will taste great in any shape your cookie press makes, but be sure to choose a tip with at least a 1/2 -inch opening.  otherwise, the ground nuts might get caught in the opening.","butter, granulated sugar, egg, almond extract, all-purpose flour, ground almonds, powdered sugar",7.0,50.4,5.0,6.0,0.0,1.0,8.0,1.0
almond halibut fillets  you can also use sole or perch,97684.0,11.0,141042.0,2004-08-12,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'main-dish', 'seafood', 'easy', 'fish', 'dietary', 'high-protein', 'low-carb', 'high-in-something', 'low-in-something', 'saltwater-fish', 'halibut']","[336.0, 34.0, 2.0, 13.0, 63.0, 52.0, 0.0]",8.0,"['in a microwave-safe bowl , combine the butter and almonds', 'heat , uncovered , on high for 2 minutes , or until almonds are golden brown', 'place fillets in a greased microwave-safe 11-in x 7-in x 2-in dish', 'top with almond mixture', 'combine the lemon juice , dill , salt and pepper', 'drizzle over fish', 'sprinkle with paprika', 'cover and microwave on high for 4 minutes or until fish flakes easily with a fork']","on those days when you are 'truly down to the wire' and need to fix something fast and easy but long on flavor, this made-in-the-microwave dish can be on the table in just about 10 minutes flat.","halibut fillet, butter, slivered almonds, lemon juice, dill weed, salt, pepper, paprika",8.0,336.0,34.0,2.0,13.0,63.0,52.0,0.0
almond ham roll ups,267214.0,10.0,437974.0,2007-11-21,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'appetizers', 'easy', 'number-of-servings', '3-steps-or-less']","[102.8, 13.0, 0.0, 12.0, 9.0, 25.0, 0.0]",8.0,"['combine all ingredients , except ham , and stir until well blended', 'spread 1 t', 'mixture onto each ham slice', 'roll up , jellyroll fashion , starting at short end', 'wrap in plastic wrap and freeze', 'thaw at room temperature an hour before serving', 'cut each roll into 1 / 4 inch slices before completely thawed', 'may serve with crackers for an extra crunch taste']",this recipe was the appetizer winner of the holiday recipe contest of our local newspaper.,"cream cheese, instant minced onion, dry mustard, hot sauce, ham, mayonnaise, worcestershire sauce, paprika, almonds, green onion",10.0,102.8,13.0,0.0,12.0,9.0,25.0,0.0
almond honey butter,24193.0,10.0,1533.0,2002-04-02,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'low-protein', '5-ingredients-or-less', 'appetizers', 'eggs-dairy', 'easy', 'no-cook', 'dietary', 'low-in-something', 'number-of-servings', 'technique']","[1651.5, 188.0, 185.0, 36.0, 2.0, 388.0, 15.0]",4.0,"['beat butter until smooth', 'gradually add liqueur and honey', 'stir in orange peel', 'chill until ready to serve']",,"butter, liqueur, honey, orange rind",4.0,1651.5,188.0,185.0,36.0,2.0,388.0,15.0
almond honey carrots,334107.0,18.0,169430.0,2008-10-30,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'low-protein', 'side-dishes', 'vegetables', 'canadian', 'easy', 'dietary', 'low-calorie', 'low-in-something', 'carrots']","[122.2, 9.0, 41.0, 9.0, 4.0, 13.0, 5.0]",7.0,"['peel carrots', 'slice on the diagonal', 'in large saucepan , bring carrots , stock , honey , salt , pepper and nutmeg to boil', 'cover and cook over medium heat until almost tender , 5 to 7 minutes', 'uncover and cook over high heat , stirring often , until liquid is almost evaporated yet carrots are glazed and still moist , 3 to 4 minutes', 'remove from heat', 'stir in almonds and butter']","colourful carrots brighten tables any time of year, especially when accented with nuts and honey.","carrots, chicken stock, liquid honey, salt, pepper, nutmeg, sliced almonds, butter",8.0,122.2,9.0,41.0,9.0,4.0,13.0,5.0
almond honey granola,377872.0,45.0,64642.0,2009-06-20,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'granola-and-porridge', 'breakfast', 'fruit', 'american', 'easy', 'beginner-cook', 'finger-food', 'kid-friendly', 'vegetarian', 'grains', 'dietary', 'gifts', 'low-sodium', 'low-cholesterol', 'inexpensive', 'healthy-2', 'low-in-something', 'pasta-rice-and-grains', 'presentation', 'from-scratch']","[229.6, 14.0, 46.0, 0.0, 11.0, 6.0, 10.0]",8.0,"['preheat oven to 300f', 'heat first three ingredients together in a big pot', 'stir in next three ingredients one at a time', 'spread onto a cookie sheet and bake for 15 minutes', 'stir and continue to bake for an additional 5 or 10 minutes until granola barely begins to turn golden', 'cool', 'add dried fruit', 'store in a tightly covered jar']","the advantage to using honey instead of sugar in granola is that you need significantly less.  this is a good recipe as is, but please feel free to experiment with coconut, sesame seeds, sunflower seeds, powdered milk or additional oil or honey for a richer taste.  ground granola makes a wonderful crumb crust for pies, too!  from an old newspaper clipping.","oil, honey, almond extract, old fashioned oats, wheat germ, almonds, natural bran, raisins",8.0,229.6,14.0,46.0,0.0,11.0,6.0,10.0
almond honey whole wheat bread  1 1 2 pound recipe,226379.0,125.0,167003.0,2007-05-05,"['time-to-make', 'course', 'preparation', 'healthy', 'breads', 'bread-machine', 'dietary', 'low-cholesterol', 'low-saturated-fat', 'healthy-2', 'yeast', 'low-in-something', 'equipment', 'small-appliance', '4-hours-or-less']","[155.3, 5.0, 18.0, 9.0, 8.0, 2.0, 9.0]",5.0,"['make 1 1 / 2-pound recipe for bread machines that use 3 cups flour , or make 1-pound recipe for bread machines that use 2 cups flour', 'measure carefully , placing all ingredients in bread machine pan in the order recommended by the manufacturer', 'select basic / white cycle', 'use medium or light crust color', 'remove baked bread from pan and cool on wire rack']","i got this really cool recipe book, this came from it.","water, honey, margarine, bread flour, whole wheat flour, slivered almonds, salt, bread machine yeast",8.0,155.3,5.0,18.0,9.0,8.0,2.0,9.0
almond horns,179210.0,37.0,232669.0,2006-07-25,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'desserts', 'fruit', 'finger-food', 'kid-friendly', 'kosher', 'vegetarian', 'chocolate', 'nuts', 'dietary', 'gifts', 'low-sodium', 'low-in-something', 'brunch', 'taste-mood', 'sweet', 'presentation', 'served-cold', 'served-hot']","[187.8, 17.0, 57.0, 1.0, 9.0, 5.0, 6.0]",22.0,"['line cookie sheet with parchment or foil', 'in a food processor combine almond paste and sugar', 'mix until the texture of fine crumbs', 'add egg white and flour , reserving yolk', 'mix until dough becomes smooth paste , it will be slightly sticky', 'turn dough out onto a lightly floured surface', 'with floured hands roll dough into a 12"" log', 'divide into 12 equal pieces and roll into balls', 'roll balls between palms into 3"" logs , slightly tapered at ends', 'spread almonds on a plate', 'beat reserved egg yolk with 2 tablespoons of water', 'dampen log with beaten yolk', 'roll each log in almonds until coated , bending into crescents', 'place crescents 2"" apart on prepared cookie sheet and refrigerate for 20 minutes', 'preheat oven to 350f', 'bake 12-14 minutes or until light golden in color', 'cool baking sheet on wire rack for 5 minutes , and loosen crecents with a spatula', 'slide parchment off baking sheet and back onto wire rack to finishing cooling cookies', 'melt chocolate in double boiler or microwave', 'dip cookie ends into melted chocolate', 'place back on parchment until chocolate is dry', 'layer ""almond horns"" between sheets of wax paper in airtight container']","we were eating some almond horns the other evening and we thought that they wouldn't be too difficult to make -- well we were wrong. however, the instructions are long and convuluted but they are worth their while. it is a macaroon type dough rolled in sliced almonds and it is delicious. cooling time is 20 minutes.","almond paste, confectioners' sugar, egg, all-purpose flour, almonds, bittersweet chocolate",6.0,187.8,17.0,57.0,1.0,9.0,5.0,6.0
almond hot chocolate,493504.0,30.0,37449.0,2013-01-12,"['weeknight', '30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', 'beverages', 'african', 'american', 'easy', 'vegan', 'vegetarian', 'chocolate', 'nuts', 'dietary', 'number-of-servings', 'from-scratch']","[213.3, 27.0, 7.0, 4.0, 14.0, 7.0, 2.0]",17.0,"['place the chocolate and cocoa in a mixing bowl', 'heat almond milk in a saucepan', 'pour over chocolate and cocoa and whisk well to melt and make frothy', 'stir in vanilla', 'if available , use a hand blender or hand mixer to make it even more frothy on top', 'pour into mugs and serve immediately', 'dust with cocoa to garnish and serve with chocolate-covered almonds', 'chocolate-covered almonds:', 'place a metal bowl of chocolate on top of one inch of water in a small saucepan', 'bring water to a low simmer', 'stir chocolate until melted', 'remove pan from heat', 'working quickly , dip half of each almond in melted chocolate', 'let dry on waxed paper , and serve', 'to roast almonds: spread in an ungreased baking pan', 'place in 350f oven and bake 10 minutes or until golden brown and fragrant', 'stir once or twice to assure even browning']",a simple but oh so yummy recipe from the  almond board of california.,"almond milk, bittersweet chocolate, unsweetened cocoa, vanilla extract, almonds",5.0,213.3,27.0,7.0,4.0,14.0,7.0,2.0
almond hummus,292798.0,10.0,37449.0,2008-03-19,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'appetizers', 'beans', 'fruit', 'asian', 'greek', 'middle-eastern', 'easy', 'european', 'holiday-event', 'vegan', 'vegetarian', 'dips', 'spreads', 'nuts', 'dietary', 'low-cholesterol', 'chick-peas-garbanzos', 'low-in-something', 'brunch', '3-steps-or-less']","[700.7, 63.0, 15.0, 113.0, 43.0, 19.0, 23.0]",4.0,"['in food processor , pure all ingredients except water until smooth', 'add water , a little at a time , and process until until you reach the desired consistency and the mixture is blended', 'refrigerate , covered', 'enjoy !']","adapted from the almond board of california.
hummus is used through out the middle east, the mediterranean, as well as many parts of india. there is no way of knowing where its origin began – though it is presumed to be somewhere in the middle east.


test and  measure before posting.","chickpeas, almond butter, lemon juice, garlic, salt, lemon zest, red pepper flakes, water, salt and pepper",9.0,700.7,63.0,15.0,113.0,43.0,19.0,23.0
almond ice cream  dairy free,370018.0,1455.0,593927.0,2009-05-06,"['lactose', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', '5-ingredients-or-less', 'desserts', 'fruit', 'spanish', '1-day-or-more', 'easy', 'european', 'frozen-desserts', 'nuts', 'freezer', 'dietary', 'low-sodium', 'gluten-free', 'low-cholesterol', 'low-saturated-fat', 'egg-free', 'free-of-something', 'low-in-something', 'taste-mood', 'sweet', 'equipment', 'dairy-free']","[771.7, 61.0, 347.0, 1.0, 32.0, 15.0, 32.0]",15.0,"['in a blender or food processor , very finely grind the almonds', 'use the pulse function and watch carefully', 'you do not want the nuts to release too much oil , which will turn them into nut butter', 'in a heavy saucepan , combine the water , sugar , lemon zest , cinnamon stick , and half of the almonds', 'place over high heat and bring to a boil , stirring constantly', 'decrease the heat to medium and add the rest of the almonds , continuing to stir', 'as soon as the mixture boils again , remove from the heat and let cool completely', ""transfer the cooled mixture to an ice-cream maker and freeze according to the manufacturer's instructions"", 'if you do not have an ice-cream maker , transfer the mixture to a 4-cup container and place in the freezer for about 1 hour , or until half frozen', 'during this hour , remove the ice cream from the freezer every 5 to 10 minutes and beat it with a whisk to prevent ice crystals from forming', 'after the first hour , return the ice cream to the freezer and leave it there for at least 2 hours , or until fully frozen', 'when made by either method , transfer the finished ice cream to an airtight container and store in the freezer', 'it will keep for up to 1 week', 'when ready to serve , remove the ice cream from the freezer about 20 minutes in advance to allow it to soften slightly', 'spoon into small dishes to serve']",zwt7 pacific islands.,"blanched almond, water, sugar, lemon zest, cinnamon stick",5.0,771.7,61.0,347.0,1.0,32.0,15.0,32.0
almond iced shortbread balls  gluten free,273537.0,120.0,434380.0,2007-12-24,"['time-to-make', 'course', 'preparation', 'hand-formed-cookies', 'desserts', 'cookies-and-brownies', 'dietary', 'gluten-free', 'free-of-something', '4-hours-or-less']","[68.9, 7.0, 26.0, 1.0, 0.0, 14.0, 2.0]",15.0,"['combine butter , sugar , and 1 cup of flour , using sturdy wooden spoon or mixer with dough hooks', 'add eggs and mix in thoroughly', 'gradually work in the remaining flour , until dough will roll into balls without being sticky', 'roll into one or two-bite size balls and place on ungreased cookie sheet , or silicone baking sheet', 'bake at 350 f for 15 minutes', 'cool on cookie sheet before moving cookies to sheets of waxed paper', 'space the cookies at least 1 / 2"" apart on the waxed paper so you don\'t have to move them to put icing on them', 'combine icing ingredients and stir until smooth', ""the icing should be runny enough to drop from a knife onto the cookies , but thick enough that it doesn't all run off"", 'the icing will thicken as it sits', 'add more water if needed', 'to ice , leave the cookie on the waxed paper , and drop enough icing onto it to cover the top and drip down the sides a bit', 'while the icing is still wet , you can add little drops of icing to ensure coverage', 'try not to have too much icing ending up on the waxed paper , or you may not have enough for the whole batch', 'let the icing dry before placing in shallow storage containers , in a single layer']","these melt in your mouth shortbread cookies are a family favorite at christmas time.  they are very delicate, so i usually make them in a one or two bite size.  this recipe works best with a blend of gluten-free flours, rather than a single flour.  the recipe was tested with recipe #208061.","salted butter, white sugar, eggs, gluten-free flour, icing sugar, almond extract, water, food coloring",8.0,68.9,7.0,26.0,1.0,0.0,14.0,2.0
almond jello,111884.0,140.0,138429.0,2005-02-24,"['time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'gelatin', 'desserts', 'easy', 'dietary', '4-hours-or-less']","[343.9, 14.0, 171.0, 5.0, 17.0, 28.0, 18.0]",8.0,"['take 1 cup of the evaporated milk , the gelatin and sugar and dissolve over low heat', 'add 2 teaspoons almond extract', 'take remaining 2 cups of milk , add the last 2 teaspoons almond extract , stir then add this into the hot milk', 'stir until well blended', 'pour into bowl and cool in fridge 2 to 3 hours', 'when firm cut into cubes adding the fruit cocktail , including liquid', 'mix lightly and serve', 'cooking time is refrigerated time']","this is the most delightful dessert, very light and so refreshing. i got this recipe from a girl i worked with who brought it to a potluck, (made by her mother).we all had to wait for some time to get the recipe since her mother had to translate the recipe from chinese to english. it was well worth the wait.","evaporated milk, sugar, unflavored gelatin, almond extract, fruit cocktail",5.0,343.9,14.0,171.0,5.0,17.0,28.0,18.0
almond jelly chunks with sweet tangy longan,214154.0,25.0,360787.0,2007-02-27,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'gelatin', 'malaysian', 'desserts', 'fruit', 'asian', 'easy', 'refrigerator', 'beginner-cook', 'kid-friendly', 'stove-top', 'dietary', 'egg-free', 'free-of-something', 'toddler-friendly', 'citrus', 'lemon', 'tropical-fruit', 'taste-mood', 'sweet', 'equipment', 'presentation', 'served-cold']","[136.0, 6.0, 39.0, 2.0, 16.0, 13.0, 5.0]",13.0,"['combine milk & sugar , bring to a boil and stir frequently while taking care not to let the milk boil over', 'turn off the flame', 'stir in the almond extract', 'in a separate small bowl , pour in some of the hot milk & sprinkle in the gelatin powder', 'whisk until dissolved with a fork', 'return & stir the gelatin mixture into the rest of the hot milk', 'pour into a square wet mould & store in refrigerator until set & chilled through', 'cut into little cubes or diamonds', 'in a large bowl , combine the longan & its syrup with the lemon zest & juice', 'add in very cold water until the mixture is not too sweet', 'gently stir in the almond cubes / diamonds & scatter a handful of ice cubes if desired', 'you can also toss in a few split maraschino cherries , if you like !', 'put out serving bowls and let everyone serve themselves =) enjoy !']","i have been searching for the perfect recipe to make the jelly for this dessert but it always came out wrong and not to my liking. but now i've got it right after some experimenting and it has become a favourite in my home, even with my mom who hates almond jelly (surprisingly!). and the lemon really makes a huge difference, i love everything about this dessert! i hope you'll like it too =) if you can't find canned longan, you can substitute with canned lychees (litchi). cooking/prep time does not include chill time.","milk, gelatin powder, sugar, almond extract, longans in heavy syrup, lemon zest, lemon, juice of",7.0,136.0,6.0,39.0,2.0,16.0,13.0,5.0
almond jelly with fruit salad,161685.0,375.0,59064.0,2006-03-27,"['lactose', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'south-west-pacific', 'healthy', 'gelatin', 'desserts', 'fruit', 'asian', 'australian', 'chinese', 'refrigerator', 'dinner-party', 'holiday-event', 'stove-top', 'dietary', 'new-years', 'low-sodium', 'gluten-free', 'high-calcium', 'egg-free', 'free-of-something', 'high-in-something', 'low-in-something', 'melons', 'tropical-fruit', 'taste-mood', 'sweet', 'equipment', 'presentation', 'served-cold']","[264.6, 8.0, 176.0, 3.0, 20.0, 18.0, 14.0]",8.0,"['place sugar and 2 cups water in a large saucepan and bring to a boil', 'stir throughout to dissolve the sugar', 'remove from heat', 'sprinkle the gelatine over and stir until dissolved', 'stir in the almond essence , condensed milk and 3 cups of water until well combined', 'pour mixture into a 19 x 29 cm slice tin and refrigerate for 6 hours or overnight until set', 'using a sharp knife , cut jelly into 2 cm cubes', 'divide among bowls with fruits']","from notebook february 2006.
this recipe needs to be started at least 6 hours ahead or up to 1 day in advance.","caster sugar, gelatin powder, almond essence, sweetened condensed milk, lychees",5.0,264.6,8.0,176.0,3.0,20.0,18.0,14.0
almond joy,280658.0,1.0,498271.0,2008-01-22,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-1-or-2', '5-ingredients-or-less', 'beverages', 'easy', 'cocktails', 'number-of-servings', '3-steps-or-less']","[154.2, 25.0, 0.0, 0.0, 1.0, 51.0, 0.0]",2.0,"['blend all ingredients with crushed ice', 'pour into a wine glass to serve']",sweet and creamy...,"amaretto, white creme de cacao, heavy cream, ice",4.0,154.2,25.0,0.0,0.0,1.0,51.0,0.0
almond joy balls,15367.0,30.0,15609.0,2001-12-06,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'low-protein', '5-ingredients-or-less', 'desserts', 'eggs-dairy', 'potatoes', 'vegetables', 'american', 'easy', 'no-cook', 'kid-friendly', 'candy', 'dietary', 'low-sodium', 'low-in-something', 'number-of-servings', 'technique']","[163.3, 7.0, 114.0, 1.0, 1.0, 21.0, 10.0]",6.0,"['drain a cooked potato and mash with a fork in large bowl', 'work in powdered sugar , add coconut and extract', 'be sure to mix well', 'roll in balls or logs and chill', 'dip in melted chocolate', 'if it becomes sticky while rolling in balls just chill again']",homemade candy that tastes like an almond joy candy bar,"potato, sweetened coconut, powdered sugar, almond extract, chocolate",5.0,163.3,7.0,114.0,1.0,1.0,21.0,10.0
almond joy bars,185735.0,40.0,239670.0,2006-09-11,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'easy', 'dinner-party', 'holiday-event', 'cookies-and-brownies', 'bar-cookies', 'dietary', 'taste-mood', 'sweet', 'number-of-servings']","[345.8, 30.0, 140.0, 6.0, 11.0, 39.0, 13.0]",12.0,"['melt margarine , stir in sugar and graham crackers until all worked in together', 'pat in the bottom of a 9x13 pan', 'bake in a 350 degree oven for 10 minutes', 'while the crust is baking , mix the sweetened condensed milk with the coconut until all the coconut is incorporated with the sweetened condensed milk', 'i usually chop the almonds up as the bars cut easier when they are chopped rather than left whole , but that is a personal choice', 'when the crust is out of the oven , spread filling over the crust', 'once the filling is spread , sprinkle the toasted almonds over the filling', 'bake the bars for 20 minutes or until light golden brown', 'once you take the bars out of the oven , i turn my oven off , sprinkle the chocolate chips over the bars and return to oven for a few minutes until the chips are melted enough to spread with a knife', 'i have found over the years that scoring the bars while the chocolate is still soft , helps when cutting the bars after they have cooled', ""other wise when you cut the cooled bars , they don't seem to cut cleanly and neatly"", 'i also cut them into tiny bite size pieces , they are very rich and by cutting them small , they go alot further']","these are so yummy! they really do taste like an almond joy candy bar. i usually make these for christmas, but i tend to also make them for pot lucks or other family functions. these are a huge hit. trust me, you will love them!","graham crackers, sugar, margarine, flaked coconut, sweetened condensed milk, toasted almonds, semi-sweet chocolate chips",7.0,345.8,30.0,140.0,6.0,11.0,39.0,13.0
almond joy bread,276582.0,90.0,677508.0,2008-01-05,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'breads', 'easy', 'chocolate', '4-hours-or-less']","[765.8, 55.0, 296.0, 12.0, 19.0, 55.0, 35.0]",21.0,"['preheat oven to 350f', 'combine the eggs , sugar , canola oil , butter , vanilla , and coconut extract into a large mixing bowl', 'beat ingredients on medium speed for 2 minutes', 'in a separate bowl , combine flour , baking soda , baking powder , salt , and cocoa powder', 'starting with the flour mixture alternate flour , and then buttermilk till all is combined', 'add egg mixture', 'mix until just combined', 'do not over mix', 'fold in coconut , chocolate chips and almonds', 'pour into two loaf pans that have been greased and floured or sprayed with cooking spray', 'bake at 350f for 1 hour', 'remove from oven and place on rack to dry', 'while cakes are still warm , poke several holes in the top of the cake with a fork', 'drizzle coconut glaze into the holes', 'coconut glaze:', 'place ingredients into a small saucepan', 'bring to a boil', 'allow to boil for about a minute', 'turn heat off but leave saucepan on burner', 'drizzle over bread', 'cool']","if you love almond joy candy bars, this recipe is for you.","eggs, sugar, canola oil, unsalted butter, vanilla, coconut extract, flour, baking soda, baking powder, salt, cocoa powder, buttermilk, sweetened coconut, almonds, chocolate chips, water, butter",17.0,765.8,55.0,296.0,12.0,19.0,55.0,35.0
almond joy brownie bites,480341.0,45.0,203325.0,2012-06-02,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'desserts', 'easy', 'cookies-and-brownies', 'brownies']","[87.2, 7.0, 41.0, 1.0, 2.0, 19.0, 3.0]",10.0,"['preheat your oven according to brownie recipe directions and generously spray two mini muffin pans with nonstick spray', 'fill cups about 1 / 2 full with brownie batter and bake according to directions', 'when brownies are done , place pans on a cooling rack and remove brownies once cooled completely', 'in a medium bowl , combine coconut and sweetened condensed milk', 'with clean hands , roll coconut mixture into balls and press onto tops of brownie bites', 'press an almond into the top of each', 'place brownies in the freezer to harden for about 15 minutes', 'melt almond bark or candy melts according to directions', 'remove brownies from freezer and dip the tops in the chocolate', 'place dipped brownies on a wax paper lined baking sheet and refrigerate until chocolate is set']","i found this receipe on another website.  i haven't tried them yet, but i will soon.  i love almond joys.","batter, sweetened flaked coconut, sweetened condensed milk, almonds, chocolate almond bark",5.0,87.2,7.0,41.0,1.0,2.0,19.0,3.0
almond joy brownies,45880.0,45.0,25455.0,2002-11-13,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'fruit', 'oven', 'easy', 'finger-food', 'cookies-and-brownies', 'chocolate', 'bar-cookies', 'brownies', 'nuts', 'equipment', 'number-of-servings', 'presentation']","[197.3, 16.0, 64.0, 6.0, 5.0, 26.0, 7.0]",12.0,"['heat oven to 350f', 'grease 9-inch square pan', 'in medium saucepan over low heat , melt candy bars and shortening , stirring occasionally until chocolate and shortening are melted', 'add sugar and vanilla', 'blend well', 'add eggs 1 at a time , beating well after each addition', 'stir in flour , salt and chopped almonds', 'mix well', 'spread in greased pan', 'bake for 25 to 30 minutes or until top springs back when touched lightly in center', 'cool completely', 'cut into bars']","this is a pillsbury bake-off recipe from the 50s. the almond joys are melted and mixed into the recipe.  i expected a more chocolately brownie when i discovered this recipe and was surprised to end up with a ""blonde"" coconut brownie with only a hint of chocolate taste.  very good.","almond joy candy bars, butter, sugar, vanilla, eggs, all-purpose flour, salt, almonds",8.0,197.3,16.0,64.0,6.0,5.0,26.0,7.0
